scenario,method,rho,sigma_2,rep,euclidean_dist,max_abs_coef_diff,cosine_similarity,prediction_mse,prediction_mae,prediction_corr
cart_N1000_p10_rho0.0_sigma2.0_rep55,cart,0.0,2.0,55,1.3366410400871498,0.6397883328541211,0.9507493083724984,1.718242964412913,1.0467546550484046,0.9761486820513685
cart_N1000_p10_rho0.0_sigma2.0_rep56,cart,0.0,2.0,56,1.5334546451667836,0.7152532000062188,0.9390555317990488,2.3119779313233377,1.2056932881738416,0.9485948954141101
cart_N1000_p10_rho0.0_sigma2.0_rep57,cart,0.0,2.0,57,1.6141417792379513,0.7828391743995173,0.9311146451779596,2.5368818668432276,1.2705821181789299,0.9344570776095859
cart_N1000_p10_rho0.0_sigma2.0_rep58,cart,0.0,2.0,58,1.5341560216895767,0.7780351634311504,0.9270887646827142,2.2921698065451337,1.2050472337292428,0.9465399230852175
cart_N1000_p10_rho0.0_sigma2.0_rep59,cart,0.0,2.0,59,1.7077186586219955,1.023824253664491,0.8772743668297764,2.840598834536915,1.3460572441714949,0.875176203926068
cart_N1000_p10_rho0.0_sigma2.0_rep6,cart,0.0,2.0,6,1.587622423564189,0.7846444836814732,0.909689023173619,2.458411927397178,1.2503817044228829,0.9278970210385432
cart_N1000_p10_rho0.0_sigma2.0_rep60,cart,0.0,2.0,60,1.436918151469522,0.7655214738733909,0.951112599307564,2.0331514589969824,1.1344806459085202,0.9487056600852812
cart_N1000_p10_rho0.0_sigma2.0_rep61,cart,0.0,2.0,61,1.3060362964859558,0.6506331145044266,0.945084361880972,1.663574708736857,1.0257696911534573,0.9465208432929066
cart_N1000_p10_rho0.0_sigma2.0_rep62,cart,0.0,2.0,62,1.5406225649068568,0.7582427041789916,0.9154884558943586,2.3056955720352033,1.2116496111330055,0.9372820771912572
cart_N1000_p10_rho0.0_sigma2.0_rep63,cart,0.0,2.0,63,1.406383158782067,0.5944257034491403,0.9418175575606546,1.9405603513281025,1.112379255479674,0.9592602641846956
cart_N1000_p10_rho0.0_sigma2.0_rep64,cart,0.0,2.0,64,1.3365465763035793,0.6496545883517207,0.9501723329330676,1.7644803202811075,1.0603618647162232,0.9683886257131589
cart_N1000_p10_rho0.0_sigma2.0_rep65,cart,0.0,2.0,65,1.2652293426661692,0.5797281941268191,0.9604482923563379,1.5722239255727033,1.0004433534827717,0.9596539618352564
cart_N1000_p10_rho0.0_sigma2.0_rep66,cart,0.0,2.0,66,1.5485397656257136,0.6991579382283521,0.9251829273028963,2.339723146376482,1.22236092146808,0.9406685765175743
cart_N1000_p10_rho0.0_sigma2.0_rep67,cart,0.0,2.0,67,1.2998132813614076,0.6949635400516896,0.9580189840565883,1.6531687265626693,1.0263549827570853,0.9801215929478816
cart_N1000_p10_rho0.0_sigma2.0_rep68,cart,0.0,2.0,68,1.4422433780372386,0.6410418380282873,0.9416918697162713,2.0246249912570695,1.134474522701898,0.9362660017960422
cart_N1000_p10_rho0.0_sigma2.0_rep69,cart,0.0,2.0,69,1.3834255016157524,0.7144316311341632,0.9452032718124894,1.846004443942932,1.0833198886571211,0.9488012633753732
cart_N1000_p10_rho0.0_sigma2.0_rep7,cart,0.0,2.0,7,1.2990049752969848,0.6288556722087776,0.9657220494620571,1.64252643247007,1.019230072843984,0.9779026962876928
cart_N1000_p10_rho0.0_sigma2.0_rep70,cart,0.0,2.0,70,1.5526673987344817,0.7569047319875055,0.9287018020146189,2.3839653015290145,1.2308499367990882,0.9329915959714103
cart_N1000_p10_rho0.0_sigma2.0_rep71,cart,0.0,2.0,71,1.490367754478587,0.74953582843192,0.9502704885669787,2.200598818407731,1.183461678765746,0.9461588879224556
cart_N1000_p10_rho0.0_sigma2.0_rep72,cart,0.0,2.0,72,1.528062764175334,0.9117112530822873,0.9445322760219584,2.284126521093398,1.2075104239718182,0.9465361782741578
cart_N1000_p10_rho0.0_sigma2.0_rep73,cart,0.0,2.0,73,1.561630655847867,0.7318047790360829,0.9303933782951014,2.403186292220155,1.2311438270268735,0.9370115575326597
