method,rho,sigma_2,rep,term,beta_true,beta_od,beta_sd,diff
cart,0.0,1.0,17,β9,1,0.9532431117615938,0.44111352385376873,0.5121295879078251
cart,0.0,1.0,17,β10,1,1.0292725409358394,0.30379552835012563,0.7254770125857137
cart,0.0,1.0,18,β₀ (intercept),1,0.9560894670002029,0.961512951932594,-0.005423484932391087
cart,0.0,1.0,18,β1,1,0.9669656784348912,0.17377316606737211,0.7931925123675191
cart,0.0,1.0,18,β2,1,0.9918334175919994,0.4867252689582797,0.5051081486337197
cart,0.0,1.0,18,β3,1,0.9993608169980944,0.6543776397072391,0.34498317729085537
cart,0.0,1.0,18,β4,1,0.9554693855956138,0.5259395716085559,0.4295298139870579
cart,0.0,1.0,18,β5,1,1.0337698863227263,0.6346024704739534,0.3991674158487729
cart,0.0,1.0,18,β6,1,0.9655393215263061,0.5166047442503371,0.44893457727596897
cart,0.0,1.0,18,β7,1,1.0342598867347976,0.6475669525585737,0.38669293417622397
cart,0.0,1.0,18,β8,1,0.9987695701309184,0.4963209272173446,0.5024486429135737
cart,0.0,1.0,18,β9,1,1.0266592859553594,0.869059419670489,0.15759986628487033
cart,0.0,1.0,18,β10,1,1.0188863155352743,0.813586672493285,0.20529964304198933
cart,0.0,1.0,19,β₀ (intercept),1,0.9973905281837213,0.9659606908258718,0.031429837357849544
cart,0.0,1.0,19,β1,1,1.0404893573742153,0.2764159387887215,0.7640734185854938
cart,0.0,1.0,19,β2,1,0.9997002914255341,0.5280182207932553,0.47168207063227874
cart,0.0,1.0,19,β3,1,1.0261617037697868,0.4451720808167885,0.5809896229529983
cart,0.0,1.0,19,β4,1,1.0468354888479503,0.6611334944482233,0.38570199439972697
cart,0.0,1.0,19,β5,1,1.0428796709132975,0.7274224623077152,0.31545720860558224
cart,0.0,1.0,19,β6,1,0.9688521746426406,0.1718218361414992,0.7970303385011415
cart,0.0,1.0,19,β7,1,1.0317775967069496,0.5403699030330646,0.4914076936738849
cart,0.0,1.0,19,β8,1,1.0292260211723325,0.7503014115447665,0.27892460962756604
cart,0.0,1.0,19,β9,1,1.0444767091923355,0.7474954928537342,0.2969812163386013
cart,0.0,1.0,19,β10,1,0.9978438336910032,0.41429679634308864,0.5835470373479146
cart,0.0,1.0,2,β₀ (intercept),1,1.0407600681260594,1.207346963573905,-0.16658689544784555
cart,0.0,1.0,2,β1,1,1.0104060771059178,0.8214710826155682,0.18893499449034956
cart,0.0,1.0,2,β2,1,1.0570523924111603,1.1252042962440694,-0.06815190383290903
cart,0.0,1.0,2,β3,1,1.0443864860338004,0.503913751878471,0.5404727341553294
cart,0.0,1.0,2,β4,1,1.0002329520110564,0.6334031618941047,0.3668297901169517
cart,0.0,1.0,2,β5,1,1.041687950429733,0.5960187300147463,0.4456692204149867
cart,0.0,1.0,2,β6,1,0.9656555092211985,0.5123626467266975,0.45329286249450096
cart,0.0,1.0,2,β7,1,0.9769032860215696,0.3330567004725969,0.6438465855489728
cart,0.0,1.0,2,β8,1,1.0394923371944373,0.44702105960161775,0.5924712775928196
cart,0.0,1.0,2,β9,1,1.060894434575858,0.45338512877425646,0.6075093058016015
cart,0.0,1.0,2,β10,1,1.0391431125555577,0.5288475858771553,0.5102955266784024
cart,0.0,1.0,20,β₀ (intercept),1,0.9678013391726431,1.1078276052348328,-0.1400262660621897
cart,0.0,1.0,20,β1,1,0.9814825109760393,0.5656486885064181,0.4158338224696212
cart,0.0,1.0,20,β2,1,0.9854255187646352,0.6509507814501301,0.33447473731450517
cart,0.0,1.0,20,β3,1,1.0549319594720408,0.8469613167056296,0.2079706427664112
cart,0.0,1.0,20,β4,1,0.9801857958406902,0.4378857937593082,0.542300002081382
cart,0.0,1.0,20,β5,1,1.0248870971700585,0.6916912051769881,0.3331958919930704
cart,0.0,1.0,20,β6,1,0.9973553004493038,0.3022479596826046,0.6951073407666992
cart,0.0,1.0,20,β7,1,0.9572230136798827,0.5707812785843562,0.3864417350955265
cart,0.0,1.0,20,β8,1,0.9754417306231449,0.5036989769862057,0.4717427536369392
cart,0.0,1.0,20,β9,1,1.0101335972644527,0.4740462170333074,0.5360873802311453
cart,0.0,1.0,20,β10,1,1.0365027180613722,0.6125813408629676,0.4239213771984046
cart,0.0,1.0,21,β₀ (intercept),1,1.0103744175967055,0.963568460964828,0.04680595663187759
cart,0.0,1.0,21,β1,1,0.9722298617751586,0.4180162282817035,0.5542136334934551
cart,0.0,1.0,21,β2,1,1.0000503652214618,0.43706077697357404,0.5629895882478878
cart,0.0,1.0,21,β3,1,1.0436117751177052,0.6691239493119687,0.3744878258057365
cart,0.0,1.0,21,β4,1,1.069630207438034,0.6918183617270169,0.377811845711017
cart,0.0,1.0,21,β5,1,0.969576997412475,0.5175593092003056,0.4520176882121695
cart,0.0,1.0,21,β6,1,0.979643315253461,0.5198607913180314,0.4597825239354296
cart,0.0,1.0,21,β7,1,1.033228264153591,0.2797042787802442,0.7535239853733469
