method,rho,sigma_2,rep,r2_od,r2_sd,r2_diff,ci_overlap_pct
cart,0.0,2.0,43,0.8203467309076764,0.3841424987993345,0.4362042321083419,9.634460848997643
cart,0.0,2.0,44,0.8324701732719628,0.2942711865567931,0.5381989867151697,4.198699287274797
cart,0.0,2.0,45,0.8146467312144704,0.3302818223337649,0.4843649088807055,6.1515285237505415
cart,0.0,2.0,46,0.8326586471967012,0.31731032968848105,0.5153483175082202,9.044023996574085
cart,0.0,2.0,47,0.8307946415666768,0.35442031718742306,0.47637432437925376,4.283660802729709
cart,0.0,2.0,48,0.8377172227616552,0.3583427500185652,0.47937447274309,12.404745207173908
cart,0.0,2.0,49,0.8309304140595196,0.32805385877641313,0.5028765552831065,6.456211456029784
cart,0.0,2.0,5,0.8371851603599547,0.41369071294860105,0.42349444741135367,8.430794761593534
cart,0.0,2.0,50,0.8369007618002482,0.37054188537752863,0.46635887642271956,16.791645911314852
cart,0.0,2.0,51,0.8465990753153351,0.33493889870001936,0.5116601766153157,6.6700559941004185
cart,0.0,2.0,52,0.8377946883235878,0.34114442926558686,0.496650259058001,11.682465984727806
cart,0.0,2.0,53,0.8246505471223915,0.2962330623258389,0.5284174847965526,3.1933738675621806
cart,0.0,2.0,54,0.8348613092988558,0.355525571190465,0.4793357381083908,13.20973556600345
cart,0.0,2.0,55,0.8029082434331026,0.3290462266464934,0.4738620167866092,2.305384877737654
cart,0.0,2.0,56,0.8353138259495742,0.2829698653337721,0.552343960615802,7.46037036090321
cart,0.0,2.0,57,0.8353749019840302,0.3405155985889583,0.4948593033950719,2.365693765409428
cart,0.0,2.0,58,0.8398495302418321,0.3380553897168953,0.5017941405249368,6.652576967868898
cart,0.0,2.0,59,0.8159764330701396,0.36057750532212873,0.45539892774801083,12.876971039873114
cart,0.0,2.0,6,0.8351580807574029,0.3698180115526475,0.46534006920475546,7.599876668863509
cart,0.0,2.0,60,0.8533590958498121,0.3723231497328725,0.48103594611693956,10.44683312403582
cart,0.0,2.0,61,0.8375770521983357,0.4040274637337423,0.43354958846459335,14.959608164292565
cart,0.0,2.0,62,0.8162813036693484,0.33048275961916773,0.48579854405018064,11.498629694844386
cart,0.0,2.0,63,0.8310660165005913,0.35221481835371615,0.47885119814687516,7.196177718154854
cart,0.0,2.0,64,0.8525219107537364,0.36302810153412624,0.48949380921961017,5.394258948909806
cart,0.0,2.0,65,0.8298940711530548,0.40567707717944956,0.42421699397360524,11.216572286225826
cart,0.0,2.0,66,0.832455248020251,0.28947226989007824,0.5429829781301727,6.954257646992451
cart,0.0,2.0,67,0.8442592720723352,0.36636234125695977,0.47789693081537543,3.229030392665323
cart,0.0,2.0,68,0.8486536416863557,0.3928118837053737,0.45584175798098203,12.928720208986624
cart,0.0,2.0,69,0.8257106110134259,0.3923486982848037,0.43336191272862223,14.497464883347696
cart,0.0,2.0,7,0.8397394615737728,0.39190784049638905,0.4478316210773837,3.3725896877176003
cart,0.0,2.0,70,0.8369211725738357,0.35544647592129486,0.48147469665254083,13.058186765622354
cart,0.0,2.0,71,0.8407034511218723,0.3324659315749985,0.5082375195468738,6.664369606472456
cart,0.0,2.0,72,0.832906557397408,0.3005842599039208,0.5323222974934873,3.5557658350951202
cart,0.0,2.0,73,0.8284026496776805,0.2976284633182106,0.5307741863594699,11.407800475630252
cart,0.0,2.0,74,0.8430289742350139,0.3670974196682043,0.4759315545668096,11.923390586318456
cart,0.0,2.0,75,0.8497832797240862,0.3108683037492239,0.5389149759748623,14.454221910211624
cart,0.0,2.0,76,0.8391939743666608,0.3989237238117863,0.44027025055487445,3.2948219988451157
cart,0.0,2.0,77,0.8315839474748339,0.30355073339781635,0.5280332140770175,2.543529650299221
cart,0.0,2.0,78,0.8337346429209991,0.2522530130163245,0.5814816299046746,0.0
cart,0.0,2.0,79,0.8432163886765612,0.42033550415339116,0.4228808845231701,12.188096191817657
cart,0.0,2.0,8,0.8401311013505021,0.3532015843121147,0.4869295170383874,10.16653686047028
cart,0.0,2.0,80,0.8415919033092314,0.3228074204971363,0.5187844828120951,7.093208381495112
cart,0.0,2.0,81,0.8282434564127489,0.3631295151470003,0.46511394126574857,11.738565824504867
cart,0.0,2.0,82,0.8230359103352993,0.29687812123119484,0.5261577891041045,4.686106887778056
cart,0.0,2.0,83,0.8355821388469902,0.3405892066577947,0.4949929321891955,11.585707446788925
cart,0.0,2.0,84,0.8340605081614514,0.30558079512300496,0.5284797130384464,5.409547402502314
cart,0.0,2.0,85,0.8469474942979063,0.36199015425622594,0.48495734004168034,16.325744896209233
cart,0.0,2.0,86,0.8340967007462148,0.3342392529516405,0.4998574477945743,1.751555593192651
cart,0.0,2.0,87,0.8323423420331135,0.3175615525593012,0.5147807894738123,15.882691580309437
cart,0.0,2.0,88,0.8532999253006539,0.41770264323407746,0.43559728206657644,22.772424409791103
cart,0.0,2.0,89,0.8433037980234007,0.33294673502325545,0.5103570630001453,2.5967303022786137
